Raahe Nahkiainen 	101775	5201	2800	64.61	23.9	0	weather	1997
Raasepori Jussarö 	100965	215	2757	59.82	23.57	17	weather	1990
Rantasalmi Rukkasluoto 	101436	2716	2772	62.06	28.57	79	weather	1997
Ranua airfield 	101873	6514	2881	65.98	26.37	161	weather	2008
Rauma Kylmäpihlaja 	101061	1018	2761	61.14	21.3	4	weather	1990
Rauma Pyynpää 	105427	1023		61.14	21.52	15	weather	2018
Rautavaara Ylä-Luosta 	101603	3716	2789	63.38	28.66	164	weather, precipitation	1976
Rovaniemi Apukka 	101933	7502	2813	66.58	26.01	106	weather	1939
Rovaniemi airport 	101920	7401	2845	66.56	25.84	189	weather	1951
Rovaniemi airport AWOS 	137190			66.57	25.85	187	weather	1999
Rovaniemi railway station 	101928	7409	2847	66.5	25.71	85	weather	1997
Salla Naruska 	101966	7804	2745	67.16	29.18	213	weather	1999
Salla Värriötunturi 	102012	8803	2819	67.75	29.61	360	weather, precipitation, air quality (FMI), air quality (urban)	1971
Salla parish 	101959	7709	2849	66.82	28.69	218	weather	1960
Salo Kiikala airfield 	100967	217	2777	60.46	23.65	117	weather	2002
Salo Kärkkä 	100955	205	2756	60.37	23.11	3	weather	1936
Savonlinna Punkaharju Laukansaari 	101441	2801	2778	61.8	29.32	79	weather	1904
Savonlinna airport 	101430	2710	2948	61.95	28.93	92	weather	1974
Savukoski Tulppio 	107565			67.77	29.21	217	weather	2022
Savukoski parish 	101952	7702	2815	67.28	28.18	174	weather	1934
Seinäjoki Pelmaa 	101486	3101	2833	62.94	22.49	26	weather	1927
Siikajoki Ruukki 	101787	5402	2803	64.68	25.09	48	weather	1911
Siilinjärvi Kuopio airport 	101570	3601	2917	63	27.81	94	weather	1945
Sipoo Itätoukki 	105392	425		60.1	25.19	8	weather	2017
Sodankylä Lokka 	102000	8601	2719	67.82	27.75	240	weather	1958
Sodankylä Tähtelä 	101932	7501	2836	67.37	26.63	179	weather, sounding, air quality (FMI)	1891
Sodankylä Vuotso 	102001	8602	2816	68.08	27.19	247	weather	1958
Somero Salkola 	101128	1227	2949	60.65	23.81	142	weather	2010
Sotkamo Kuolaniemi 	101756	4714	2739	64.11	28.34	160	weather	1989
Sotkamo Tuhkakylä 	107113			64	28.06	211	weather	2019
Suomussalmi Pesiö 	101826	5711	2889	64.93	28.75	222	weather, precipitation	1981
Taivalkoski parish 	101885	6707	2804	65.57	28.22	197	weather	2002
Tampere Härmälä 	101124	1222	2763	61.47	23.75	85	weather	1948
Tampere Siilinkari 	101311	2219	2943	61.52	23.75	96	weather	1989
Tervola Loue 	107201	6313		66.15	24.99	38	weather	2020
Tohmajärvi Kemie 	101459	2902	2832	62.24	30.35	91	weather	1925
Toholampi Laitala 	101689	4314	2737	63.82	24.16	84	weather	1988
Tornio Torppi 	101851	6312	2880	65.85	24.17	8	weather	2008
Turku Artukainen 	100949	118	2773	60.45	22.18	8	weather	2003
Turku Rajakari 	100947	116	2747	60.38	22.1	3	weather	1991
Turku airport 	101065	1101	2972	60.52	22.28	45	weather	1955
Utsjoki Kevo 	102035	9603	2805	69.76	27.01	107	weather, air quality (FMI)	1961
Utsjoki Kevo Kevojärvi 	126737	9618	2890	69.76	27.01	76	weather	2010
Utsjoki Nuorgam 	102036	9604	2825	70.08	27.9	22	weather	1929
Vaala Pelso 	101800	5502	2714	64.5	26.42	113	weather	1943
Vaasa Klemettilä 	101485	3024	2957	63.1	21.64	7	weather	2010
Vaasa airport 	101462	3001	2911	63.06	21.75	4	weather	1946
Vantaa Helsinki-Vantaa airport 	100968	301	2974	60.33	24.97	47	weather	1952
Varkaus Kosulanniemi 	101421	2625	2850	62.32	27.91	83	weather	2007
Vesanto parish 	101555	3502	2710	62.92	26.42	121	weather	1914
Vieremä Kaarakkala 	101726	4602	2834	63.84	27.22	206	weather, precipitation	1937
Vihti Maasoja 	100976	309	2758	60.42	24.4	39	weather	1938
Viitasaari Haapaniemi 	101537	3401	2915	63.08	25.86	130	weather	1969
Virolahti Koivuniemi 	101231	1612	2831	60.53	27.67	5	weather	1976
Virrat Äijänneva 	101310	2218	2735	62.33	23.54	138	weather	1986
Ylitornio Meltosjärvi 	101908	7301	2812	66.53	24.65	93	weather	1935
Ylivieska airfield 	101690	4315	2755	64.05	24.72	76	weather	2000
Ähtäri Inha 	101520	3301	2924	62.55	24.14	161	weather	1912
