Station ID,Name,Latitude,Longitude,Road Number,Municipality,Province
C03525,vt6_Imatra_Rönkkä,61.229996,28.856199,,,
C03527,kt72_Haukivuori,62.011742,27.197605,,,
C03528,kt46_Kouvola_Jaala,61.016126,26.586723,,,
C03529,vt6_Lappeenranta_Muukko,61.095702,28.374158,,,
C03530,vt7_Hamina_Lelu,60.570267,27.305027,,,
C03531,vt15_Kouvola_Käyrälampi,60.885055,26.765977,,,
C03532,vt5_Pertunmaa_Kuortti,61.399125,26.386503,,,
C03533,kt46_Kouvola_Uimila,61.159432,26.305941,,,
C03534,kt62_Mikkeli_Anttola,61.588222,27.622619,,,
C03548,vt6_Kouvola_Elimäki,60.736185,26.440398,,,
C03552,st170_Hamina_Tallinmäki,60.556257,27.245648,,,
C03555,st170_Virolahti_Vaahterikonkangas,60.57199,27.638443,,,
C03557,st170_Urheilukentän_risteys,60.586974,27.726683,,,
C03558,vt6_Lappeenranta_Saimaan_kanava,61.071041,28.307574,,,
C03560,kt62_Virmutjoki,61.344408,28.770943,,,
C03561,vt14_Savonlinna_Punkaharju,61.766037,29.370411,,,
C03562,vt5_Joroinen_Tahkoranta,62.224729,27.887845,,,
C03563,vt23_Pieksämäki_Siikamäki,62.290447,27.405954,,,
C03564,vt15_Laivolahti,61.18898,27.16245,,,
C03565,vt13_Lokkaan_suora,61.022307,28.395891,,,
C03566,vt6_Lappeenranta_Reijola,61.041502,28.188913,,,
C03568,vt6_Lappeenranta_Muukon_suora,61.101621,28.405359,,,
C03570,vt13_Karhusjärvi,61.04087,28.359564,,,
C03571,vt6_Lappeenranta_Selkäharju,61.026327,28.041128,,,
C03572,vt6_Lappeenranta_Lavola,61.034965,28.115215,,,
C03573,vt6_Lappeenranta_Viipurintie,61.044721,28.211606,,,
C03574,vt6_Lappeenranta_Nuijamaantie,61.066323,28.293074,,,
C03575,vt13_Savitaipale,61.191592,27.667124,,,
C03576,vt26_Hamina_Pyhältö,60.75853,27.347935,,,
C03577,vt6_Lappeenranta_Joutseno,61.116802,28.482966,,,
C03578,vt6_Lappeenranta_Vesivalo,61.172872,28.700453,,,
C03579,vt6_Rautjärvi_Simpele,61.419383,29.340937,,,
C03580,st387_Lappeenranta_Ylämaa,60.789628,28.010568,,,
C03581,vt26_Hamina_Myllykylä,60.630542,27.216275,,,
C03584,vt7_Kotka_Jumalniemi,60.509958,26.918987,,,
C03585,vt7_Pyhtää_Ahvenkoski,60.485486,26.490466,,,
C03586,vt7_Pyhtää,60.487631,26.563585,,,
C03587,vt12_Mankala_K,60.913263,26.179105,,,
C03588,vt15_Kotka_Juurikorpi,60.624956,26.921476,,,
C03589,vt15_Tuohikotti_K,61.074285,27.059063,,,
C03590,st170_Pyhtää_Ahvenkoski2,60.489682,26.491219,,,
C03591,vt7_Pyhtää_Siltakylä,60.503413,26.742226,,,
C03592,vt7_Pyhtää_Heinlahti_silta,60.496713,26.823697,,,
C03593,vt7_Kotka_Sutelan_silta,60.498751,26.87074,,,
C03594,vt7_Kotka_Kyminlinna,60.504557,26.898172,,,
C03595,vt7_Kotka_Suurniitty,60.521887,26.948394,,,
C03596,vt7_Kotka_Otsola,60.531597,26.960569,,,
C03597,vt7_Kotka_Keltakallio,60.540068,26.97565,,,
C03598,vt7_Hamina_Rantahaka,60.557757,27.010504,,,
C03599,vt7_Hamina_Summanjoki,60.569807,27.097308,,,
C03600,vt7_Hamina_Lankamalmi,60.574004,27.133939,,,
C03601,vt7_Husula_Länsi,60.584788,27.150738,,,
C03602,vt7_Hamina_Ruissalo,60.58667,27.153503,,,
C03603,vt7_Husula_suuaukko_länsi,60.593727,27.168726,,,
C03604,vt7_Husula_puomi_länsi,60.592813,27.167224,,,
C03613,vt7_Husula_puomi_itä,60.59744,27.178477,,,
C03614,vt7_Hamina_Töytäri,60.599463,27.189335,,,
C03615,vt7_Husula_Itä,60.599547,27.193553,,,
C03616,vt7_Kolsila_puomi_länsi,60.597841,27.211035,,,
C03621,vt7_Kolsila_puomi_itä,60.597658,27.219177,,,
C03622,vt7_Hamina_Helsmanni,60.598194,27.236655,,,
C03623,vt7_Hamina_Karjusuo,60.589451,27.273208,,,
C03647,vt7_Virolahti_Saarasjärvi,60.591769,27.605845,,,
C03648,vt7_Virolahti_Kattilainen,60.567173,27.380536,,,
C03650,vt7_Virolahti_Lappeenrannantie,60.61066,27.815499,,,
C03651,vt7_Vaalimaan_tunneli_puomi_itä,60.613077,27.798827,,,
C03653,vt7_Vaalimaan_tunneli_suuaukko_itä,60.613149,27.795851,,,
C03656,vt7_Vaalimaan_tunneli_suuaukko_länsi,60.612111,27.787659,,,
C03658,vt7_Vaalimaan_tunneli_puomi_länsi,60.61087,27.781839,,,
C03659,vt7_Vaalimaan_tunneli_länsi,60.605546,27.75678,,,
C03660,vt7_Virolahti_Virojoki,60.604929,27.703673,,,
C03661,vt6_Luumäki_Taavetti,60.928596,27.583765,,,
C03663,vt6_Luumäki_kko,60.934604,27.664768,,,
C03665,vt7_Pyhtää_Roonas,60.486063,26.498354,,,
C03672,vt7_Hamina_Summa,60.569293,27.088203,,,
C03674,vt7_Hamina_Kolsila_itä,60.595403,27.255293,,,
C03675,vt7_Hamina_Karjusuo_B,60.589451,27.273208,,,
C03676,vt5_Joroinen_Puunkolo,62.057329,27.806766,,,
C03682,vt7_Markkinamäki_Itä,60.485748,26.497995,,,
C03690,vt6_Luumäki_Pajari,60.906625,27.226161,,,
C04501,vt23_Virrat,62.251795,23.9833,,,
C04502,vt3_Hämeenlinna_Hattelmala,60.971439,24.473003,,,
C04503,vt2_Forssa,60.822636,23.589387,,,
C04504,vt9_Kangasala_Suinula,61.54484,24.052095,,,
C04505,vt12_Tuulos,61.102028,24.870892,,,
C04506,vt3_Hämeenkyrö_Sasi,61.599482,23.3837,,,
C04507,vt3_Tampere_Lakalaiva,61.462733,23.769505,,,
C04508,vt11_Murhasaari,61.503506,23.339773,,,
C04509,vt3_Nokia_Pitkäniemi,61.48815,23.584856,,,
C04510,kt65_Ylöjärvi_Kuru,61.877441,23.725555,,,
C04513,vt9_Orivesi_Oritupa,61.6684,24.277987,,,
C04514,vt9_Urjala_Nuutajärvi,61.026398,23.496312,,,
C04516,vt3_Parkano_Kuivasjärvi,62.175308,22.981132,,,
C04517,kt54_Loppi,60.765736,24.251452,,,
C04518,vt3_Riihimäki_Lemmenmäki,60.749682,24.729539,,,
C04519,vt12_Nokia_Sarkola,61.400326,23.25999,,,
C04520,st413_Sysmä_Koskue,61.507816,25.69925,,,
C04522,vt24_Asikkala_Iso-Äiniö,61.226205,25.349865,,,
C04524,vt12_Paasikiventie,61.508424,23.697603,,,
C04526,vt4_Heinola_Vahravuori,61.193142,26.002133,,,
C04527,vt3_Valkeakoski_Konho,61.225394,23.838616,,,
C04528,vt3_Pirkkala_Huovi,61.452837,23.636186,,,
C04530,vt3_Pirkkala_Pirkkahalli,61.463503,23.723528,,,
C04531,vt12_Pälkäne,61.272988,24.351578,,,
C04533,vt3_Pirkkala_Rajaniemi,61.470968,23.595982,,,
C04534,vt12_Tampere_Alasjärvi,61.498457,23.88529,,,
C04535,vt9_Jämsä_Länkipohja,61.740547,24.800909,,,
C04536,vt4_Lahti_Ahtiala,60.997503,25.784664,,,
C04537,vt3_Ikaalinen_Luhalahti,61.900972,22.979492,,,
C04538,vt4_Hartola_Pohjola,61.519749,25.999575,,,
C04539,vt12_Arola,60.926374,26.092728,,,
C04540,vt10_Tammela_Heinivaho,60.827277,24.001411,,,
C04541,kt54_Kärkölä_Järvelä,60.881068,25.267874,,,
C04542,kt58_Juupajoki,61.785072,24.392114,,,
C04543,kt66_Ruovesi_Ruhala,61.945398,24.115442,,,
C04544,vt12_Tampere_Kissanmaa,61.50411,23.821133,,,
C04546,vt12_Hyhky,61.508008,23.687886,,,
C04547,vt9_Tampere_Linnainmaa,61.488435,23.874866,,,
C04548,kt65_Tampere_Lielahti,61.514618,23.663405,,,
C04549,kt66_Ruovesi_Visuvesi,62.118437,23.925388,,,
C04555,yt3495_Tampere_Rautaharkko,61.477335,23.774492,,,
C04556,vt3_Hämeenlinna_Etelä,60.990007,24.459211,,,
C04558,vt3_Hämeenlinna_Puomi_E,60.989917,24.459218,,,
C04563,vt3_Hämeenlinna_Pohjoinen,60.996684,24.453184,,,
C04564,vt3_Hämeenlinna_Puomi_P,60.998981,24.452094,,,
C04565,vt3_Hämeenlinna_Ojoinen,61.002242,24.44878,,,
C04566,vt3_Janakkala_Turenki,60.912418,24.543075,,,
C04567,vt4_Hartola_Kettuvuori,61.66544,26.03436,,,
C04568,vt12_Tampere_Rantatie,61.505814,23.716046,,,
C04569,vt12_Tampere_Santalahdenpuisto,61.504465,23.720833,,,
C04570,vt12_Tampere_Tikkutehdas,61.50304,23.725477,,,
C04571,vt12_Tre_Rantatunneli_ramppi_l,61.502058,23.727216,,,
C04572,vt12_Tre_Rantatunneli_puomi_l,61.501376,23.730278,,,
C04607,vt12_Tre_Rantatunneli_Armonkallio,61.507146,23.772567,,,
C04608,vt12_Tre_Rantatunneli_puomi_i,61.507667,23.772927,,,
C04609,vt12_Tampere_Rauhaniemi,61.50753,23.776646,,,
C04610,vt12_Tampere_Marjatansilta,61.507312,23.77996,,,
C04611,vt12_Tampere_Kalevan_puistotie,61.506484,23.786345,,,
C04613,vt9_Tampere_Olkahinen,61.532529,23.951396,,,
C04614,vt3_Lempäälä_Ideapark,61.365893,23.791187,,,
C04615,vt3_Lempäälä_Sääksjärvi,61.418909,23.760294,,,
C04616,vt12_Tampere_Atala,61.497141,23.917511,,,
C04617,vt12_Hollola_Soramäki,60.980467,25.485504,,,
C04618,vt12_Lahti_Patomäki_Okeroinen_Puomi,60.953125,25.589821,,,
